date,store,sales,dow,week,month,day,quarter,is_weekend,year
2013-01-01,1,1316,1,1,1,1,1,0,2013
2013-01-01,2,1742,1,1,1,1,1,0,2013
2013-01-01,3,1588,1,1,1,1,1,0,2013
2013-01-01,4,1423,1,1,1,1,1,0,2013
2013-01-01,5,1032,1,1,1,1,1,0,2013
2013-01-01,6,1099,1,1,1,1,1,0,2013
2013-01-01,7,964,1,1,1,1,1,0,2013
2013-01-01,8,1628,1,1,1,1,1,0,2013
2013-01-01,9,1383,1,1,1,1,1,0,2013
2013-01-01,10,1521,1,1,1,1,1,0,2013
2013-01-02,1,1264,2,1,1,2,1,0,2013
2013-01-02,2,1808,2,1,1,2,1,0,2013
2013-01-02,3,1538,2,1,1,2,1,0,2013
2013-01-02,4,1432,2,1,1,2,1,0,2013
2013-01-02,5,997,2,1,1,2,1,0,2013
2013-01-02,6,1023,2,1,1,2,1,0,2013
2013-01-02,7,944,2,1,1,2,1,0,2013
2013-01-02,8,1687,2,1,1,2,1,0,2013
2013-01-02,9,1455,2,1,1,2,1,0,2013
2013-01-02,10,1530,2,1,1,2,1,0,2013
2013-01-03,1,1305,3,1,1,3,1,0,2013
2013-01-03,2,1887,3,1,1,3,1,0,2013
2013-01-03,3,1635,3,1,1,3,1,0,2013
2013-01-03,4,1534,3,1,1,3,1,0,2013
2013-01-03,5,1130,3,1,1,3,1,0,2013
2013-01-03,6,1149,3,1,1,3,1,0,2013
2013-01-03,7,966,3,1,1,3,1,0,2013
2013-01-03,8,1736,3,1,1,3,1,0,2013
2013-01-03,9,1492,3,1,1,3,1,0,2013
2013-01-03,10,1654,3,1,1,3,1,0,2013
2013-01-04,1,1452,4,1,1,4,1,0,2013
2013-01-04,2,1983,4,1,1,4,1,0,2013
2013-01-04,3,1741,4,1,1,4,1,0,2013
2013-01-04,4,1685,4,1,1,4,1,0,2013
2013-01-04,5,1258,4,1,1,4,1,0,2013
2013-01-04,6,1201,4,1,1,4,1,0,2013
2013-01-04,7,1040,4,1,1,4,1,0,2013
2013-01-04,8,1966,4,1,1,4,1,0,2013
2013-01-04,9,1612,4,1,1,4,1,0,2013
2013-01-04,10,1739,4,1,1,4,1,0,2013
2013-01-05,1,1499,5,1,1,5,1,1,2013
2013-01-05,2,2087,5,1,1,5,1,1,2013
2013-01-05,3,1887,5,1,1,5,1,1,2013
2013-01-05,4,1649,5,1,1,5,1,1,2013
2013-01-05,5,1154,5,1,1,5,1,1,2013
2013-01-05,6,1286,5,1,1,5,1,1,2013
2013-01-05,7,1131,5,1,1,5,1,1,2013
2013-01-05,8,2005,5,1,1,5,1,1,2013
2013-01-05,9,1698,5,1,1,5,1,1,2013
2013-01-05,10,1841,5,1,1,5,1,1,2013
2013-01-06,1,1613,6,1,1,6,1,1,2013
2013-01-06,2,2206,6,1,1,6,1,1,2013
2013-01-06,3,1956,6,1,1,6,1,1,2013
2013-01-06,4,1927,6,1,1,6,1,1,2013
2013-01-06,5,1265,6,1,1,6,1,1,2013
2013-01-06,6,1359,6,1,1,6,1,1,2013
2013-01-06,7,1193,6,1,1,6,1,1,2013
2013-01-06,8,2085,6,1,1,6,1,1,2013
2013-01-06,9,1781,6,1,1,6,1,1,2013
2013-01-06,10,1906,6,1,1,6,1,1,2013
2013-01-07,1,1012,0,2,1,7,1,0,2013
2013-01-07,2,1496,0,2,1,7,1,0,2013
2013-01-07,3,1313,0,2,1,7,1,0,2013
2013-01-07,4,1268,0,2,1,7,1,0,2013
2013-01-07,5,868,0,2,1,7,1,0,2013
2013-01-07,6,908,0,2,1,7,1,0,2013
2013-01-07,7,790,0,2,1,7,1,0,2013
2013-01-07,8,1577,0,2,1,7,1,0,2013
2013-01-07,9,1212,0,2,1,7,1,0,2013
2013-01-07,10,1325,0,2,1,7,1,0,2013
2013-01-08,1,1228,1,2,1,8,1,0,2013
2013-01-08,2,1800,1,2,1,8,1,0,2013
2013-01-08,3,1538,1,2,1,8,1,0,2013
2013-01-08,4,1431,1,2,1,8,1,0,2013
2013-01-08,5,992,1,2,1,8,1,0,2013
2013-01-08,6,1002,1,2,1,8,1,0,2013
2013-01-08,7,932,1,2,1,8,1,0,2013
2013-01-08,8,1665,1,2,1,8,1,0,2013
2013-01-08,9,1444,1,2,1,8,1,0,2013
2013-01-08,10,1528,1,2,1,8,1,0,2013
2013-01-09,1,1243,2,2,1,9,1,0,2013
2013-01-09,2,1786,2,2,1,9,1,0,2013
2013-01-09,3,1633,2,2,1,9,1,0,2013
2013-01-09,4,1471,2,2,1,9,1,0,2013
2013-01-09,5,1045,2,2,1,9,1,0,2013
2013-01-09,6,1025,2,2,1,9,1,0,2013
2013-01-09,7,979,2,2,1,9,1,0,2013
2013-01-09,8,1689,2,2,1,9,1,0,2013
2013-01-09,9,1401,2,2,1,9,1,0,2013
2013-01-09,10,1606,2,2,1,9,1,0,2013
2013-01-10,1,1339,3,2,1,10,1,0,2013
2013-01-10,2,1956,3,2,1,10,1,0,2013
2013-01-10,3,1677,3,2,1,10,1,0,2013
2013-01-10,4,1475,3,2,1,10,1,0,2013
2013-01-10,5,1166,3,2,1,10,1,0,2013
2013-01-10,6,1177,3,2,1,10,1,0,2013
2013-01-10,7,996,3,2,1,10,1,0,2013
2013-01-10,8,1728,3,2,1,10,1,0,2013
2013-01-10,9,1547,3,2,1,10,1,0,2013
2013-01-10,10,1581,3,2,1,10,1,0,2013
2013-01-11,1,1391,4,2,1,11,1,0,2013
2013-01-11,2,1989,4,2,1,11,1,0,2013
2013-01-11,3,1831,4,2,1,11,1,0,2013
2013-01-11,4,1652,4,2,1,11,1,0,2013
2013-01-11,5,1148,4,2,1,11,1,0,2013
2013-01-11,6,1148,4,2,1,11,1,0,2013
2013-01-11,7,1157,4,2,1,11,1,0,2013
2013-01-11,8,1904,4,2,1,11,1,0,2013
2013-01-11,9,1706,4,2,1,11,1,0,2013
2013-01-11,10,1707,4,2,1,11,1,0,2013
2013-01-12,1,1491,5,2,1,12,1,1,2013
2013-01-12,2,2166,5,2,1,12,1,1,2013
2013-01-12,3,1891,5,2,1,12,1,1,2013
2013-01-12,4,1723,5,2,1,12,1,1,2013
2013-01-12,5,1277,5,2,1,12,1,1,2013
2013-01-12,6,1291,5,2,1,12,1,1,2013
2013-01-12,7,1199,5,2,1,12,1,1,2013
2013-01-12,8,2008,5,2,1,12,1,1,2013
2013-01-12,9,1721,5,2,1,12,1,1,2013
2013-01-12,10,1912,5,2,1,12,1,1,2013
2013-01-13,1,1585,6,2,1,13,1,1,2013
2013-01-13,2,2258,6,2,1,13,1,1,2013
2013-01-13,3,1986,6,2,1,13,1,1,2013
2013-01-13,4,1866,6,2,1,13,1,1,2013
2013-01-13,5,1388,6,2,1,13,1,1,2013
2013-01-13,6,1366,6,2,1,13,1,1,2013
2013-01-13,7,1220,6,2,1,13,1,1,2013
2013-01-13,8,2216,6,2,1,13,1,1,2013
2013-01-13,9,1856,6,2,1,13,1,1,2013
2013-01-13,10,2000,6,2,1,13,1,1,2013
2013-01-14,1,1048,0,3,1,14,1,0,2013
2013-01-14,2,1504,0,3,1,14,1,0,2013
2013-01-14,3,1403,0,3,1,14,1,0,2013
2013-01-14,4,1241,0,3,1,14,1,0,2013
2013-01-14,5,882,0,3,1,14,1,0,2013
2013-01-14,6,888,0,3,1,14,1,0,2013
2013-01-14,7,833,0,3,1,14,1,0,2013
2013-01-14,8,1453,0,3,1,14,1,0,2013
2013-01-14,9,1194,0,3,1,14,1,0,2013
2013-01-14,10,1300,0,3,1,14,1,0,2013
2013-01-15,1,1279,1,3,1,15,1,0,2013
2013-01-15,2,1766,1,3,1,15,1,0,2013
2013-01-15,3,1514,1,3,1,15,1,0,2013
2013-01-15,4,1388,1,3,1,15,1,0,2013
2013-01-15,5,1048,1,3,1,15,1,0,2013
2013-01-15,6,1095,1,3,1,15,1,0,2013
2013-01-15,7,946,1,3,1,15,1,0,2013
2013-01-15,8,1716,1,3,1,15,1,0,2013
2013-01-15,9,1393,1,3,1,15,1,0,2013
2013-01-15,10,1480,1,3,1,15,1,0,2013
2013-01-16,1,1232,2,3,1,16,1,0,2013
2013-01-16,2,1749,2,3,1,16,1,0,2013
2013-01-16,3,1508,2,3,1,16,1,0,2013
2013-01-16,4,1362,2,3,1,16,1,0,2013
2013-01-16,5,1056,2,3,1,16,1,0,2013
2013-01-16,6,1000,2,3,1,16,1,0,2013
2013-01-16,7,926,2,3,1,16,1,0,2013
2013-01-16,8,1737,2,3,1,16,1,0,2013
2013-01-16,9,1428,2,3,1,16,1,0,2013
2013-01-16,10,1593,2,3,1,16,1,0,2013
2013-01-17,1,1303,3,3,1,17,1,0,2013
2013-01-17,2,1826,3,3,1,17,1,0,2013
2013-01-17,3,1713,3,3,1,17,1,0,2013
2013-01-17,4,1509,3,3,1,17,1,0,2013
2013-01-17,5,1101,3,3,1,17,1,0,2013
2013-01-17,6,1118,3,3,1,17,1,0,2013
2013-01-17,7,1033,3,3,1,17,1,0,2013
2013-01-17,8,1843,3,3,1,17,1,0,2013
2013-01-17,9,1519,3,3,1,17,1,0,2013
2013-01-17,10,1622,3,3,1,17,1,0,2013
2013-01-18,1,1368,4,3,1,18,1,0,2013
2013-01-18,2,2058,4,3,1,18,1,0,2013
2013-01-18,3,1737,4,3,1,18,1,0,2013
2013-01-18,4,1659,4,3,1,18,1,0,2013
2013-01-18,5,1191,4,3,1,18,1,0,2013
2013-01-18,6,1177,4,3,1,18,1,0,2013
2013-01-18,7,1090,4,3,1,18,1,0,2013
2013-01-18,8,1917,4,3,1,18,1,0,2013
2013-01-18,9,1620,4,3,1,18,1,0,2013
2013-01-18,10,1678,4,3,1,18,1,0,2013
2013-01-19,1,1450,5,3,1,19,1,1,2013
2013-01-19,2,2125,5,3,1,19,1,1,2013
2013-01-19,3,1860,5,3,1,19,1,1,2013
2013-01-19,4,1721,5,3,1,19,1,1,2013
2013-01-19,5,1217,5,3,1,19,1,1,2013
2013-01-19,6,1255,5,3,1,19,1,1,2013
2013-01-19,7,1086,5,3,1,19,1,1,2013
2013-01-19,8,1996,5,3,1,19,1,1,2013
2013-01-19,9,1754,5,3,1,19,1,1,2013
2013-01-19,10,1830,5,3,1,19,1,1,2013
2013-01-20,1,1607,6,3,1,20,1,1,2013
2013-01-20,2,2236,6,3,1,20,1,1,2013
2013-01-20,3,1925,6,3,1,20,1,1,2013
2013-01-20,4,1880,6,3,1,20,1,1,2013
2013-01-20,5,1356,6,3,1,20,1,1,2013
2013-01-20,6,1361,6,3,1,20,1,1,2013
2013-01-20,7,1206,6,3,1,20,1,1,2013
2013-01-20,8,2129,6,3,1,20,1,1,2013
2013-01-20,9,1845,6,3,1,20,1,1,2013
2013-01-20,10,2067,6,3,1,20,1,1,2013
2013-01-21,1,1027,0,4,1,21,1,0,2013
2013-01-21,2,1546,0,4,1,21,1,0,2013
2013-01-21,3,1376,0,4,1,21,1,0,2013
2013-01-21,4,1259,0,4,1,21,1,0,2013
2013-01-21,5,896,0,4,1,21,1,0,2013
2013-01-21,6,845,0,4,1,21,1,0,2013
2013-01-21,7,817,0,4,1,21,1,0,2013
2013-01-21,8,1416,0,4,1,21,1,0,2013
2013-01-21,9,1239,0,4,1,21,1,0,2013
2013-01-21,10,1288,0,4,1,21,1,0,2013
2013-01-22,1,1284,1,4,1,22,1,0,2013
2013-01-22,2,1732,1,4,1,22,1,0,2013
2013-01-22,3,1561,1,4,1,22,1,0,2013
2013-01-22,4,1434,1,4,1,22,1,0,2013
2013-01-22,5,1061,1,4,1,22,1,0,2013
2013-01-22,6,1095,1,4,1,22,1,0,2013
2013-01-22,7,964,1,4,1,22,1,0,2013
2013-01-22,8,1708,1,4,1,22,1,0,2013
2013-01-22,9,1397,1,4,1,22,1,0,2013
2013-01-22,10,1488,1,4,1,22,1,0,2013
2013-01-23,1,1187,2,4,1,23,1,0,2013
2013-01-23,2,1744,2,4,1,23,1,0,2013
2013-01-23,3,1531,2,4,1,23,1,0,2013
2013-01-23,4,1415,2,4,1,23,1,0,2013
2013-01-23,5,1025,2,4,1,23,1,0,2013
2013-01-23,6,1104,2,4,1,23,1,0,2013
2013-01-23,7,966,2,4,1,23,1,0,2013
2013-01-23,8,1653,2,4,1,23,1,0,2013
2013-01-23,9,1400,2,4,1,23,1,0,2013
2013-01-23,10,1588,2,4,1,23,1,0,2013
2013-01-24,1,1327,3,4,1,24,1,0,2013
2013-01-24,2,1792,3,4,1,24,1,0,2013
2013-01-24,3,1679,3,4,1,24,1,0,2013
2013-01-24,4,1466,3,4,1,24,1,0,2013
2013-01-24,5,1125,3,4,1,24,1,0,2013
2013-01-24,6,1079,3,4,1,24,1,0,2013
2013-01-24,7,1049,3,4,1,24,1,0,2013
2013-01-24,8,1768,3,4,1,24,1,0,2013
2013-01-24,9,1582,3,4,1,24,1,0,2013
2013-01-24,10,1605,3,4,1,24,1,0,2013
2013-01-25,1,1396,4,4,1,25,1,0,2013
2013-01-25,2,2062,4,4,1,25,1,0,2013
2013-01-25,3,1774,4,4,1,25,1,0,2013
2013-01-25,4,1654,4,4,1,25,1,0,2013
2013-01-25,5,1195,4,4,1,25,1,0,2013
2013-01-25,6,1216,4,4,1,25,1,0,2013
2013-01-25,7,1046,4,4,1,25,1,0,2013
2013-01-25,8,1869,4,4,1,25,1,0,2013
2013-01-25,9,1627,4,4,1,25,1,0,2013
2013-01-25,10,1801,4,4,1,25,1,0,2013
2013-01-26,1,1443,5,4,1,26,1,1,2013
2013-01-26,2,2164,5,4,1,26,1,1,2013
2013-01-26,3,1904,5,4,1,26,1,1,2013
2013-01-26,4,1713,5,4,1,26,1,1,2013
